num__person_age,num__person_income,num__person_emp_length,num__loan_amnt,num__loan_int_rate,num__loan_percent_income,num__cb_person_cred_hist_length,cat__person_home_ownership_MORTGAGE,cat__person_home_ownership_OTHER,cat__person_home_ownership_OWN,cat__person_home_ownership_RENT,cat__loan_intent_DEBTCONSOLIDATION,cat__loan_intent_EDUCATION,cat__loan_intent_HOMEIMPROVEMENT,cat__loan_intent_MEDICAL,cat__loan_intent_PERSONAL,cat__loan_intent_VENTURE,cat__loan_grade_A,cat__loan_grade_B,cat__loan_grade_C,cat__loan_grade_D,cat__loan_grade_E,cat__loan_grade_F,cat__loan_grade_G,cat__cb_person_default_on_file_N,cat__cb_person_default_on_file_Y
-0.7599216281713049,-0.12297287182059578,0.5552610354017071,-0.7328753597453288,0.6377373624415875,-0.8411968817350026,-0.9350148362880649,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.859490250233843,0.8197730166535478,-0.44117936327311197,0.05581803790212222,0.8267357929685422,-0.7471947891379395,0.7974804841808936,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.04978431103126901,-0.21724746066801015,-0.9393995626105215,0.05581803790212222,-0.5581664996858673,0.09882404423562936,0.549981152685328,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.4360392524902753,-0.16068270735956153,0.30615093573300234,1.3177274741380438,-0.01398136351342879,1.320851247997451,-0.440016173296934,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.7599216281713049,0.8763377699619964,0.8043711350704118,3.999285026139377,2.35175761170328,1.320851247997451,-0.440016173296934,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
-0.27409806464976055,-0.6886204049050819,-0.9393995626105215,-0.2596593211568582,-0.3365821328611619,0.9448428776091985,-0.6875155047924995,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.5979804403307901,0.06557630587423294,1.0534812347391167,1.0022501150790635,-0.13454932781510712,0.5688345072209455,-0.9350148362880649,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.27409806464976055,-0.6825868312188474,-0.6902894629418167,-0.3385286609216033,0.3737912784298057,0.7568386924150718,-0.6875155047924995,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.7599216281713049,-0.03812574185792286,0.30615093573300234,-0.4173980006863484,-0.01398136351342879,-0.559190603943813,-0.9350148362880649,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.4360392524902753,0.6312238389587191,-1.1885096622792262,-0.3385286609216033,-1.46405552876334,-0.9351989743320658,-0.440016173296934,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.4360392524902753,-0.6886204049050819,1.0534812347391167,0.05581803790212222,-1.1479719466751572,1.5088554331915776,-0.9350148362880649,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.2117254988717838,-0.5754908982881847,0.30615093573300234,0.37129539696110264,-1.1544891339347072,1.5088554331915776,0.3024818211897625,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.7599216281713049,-0.40579663836283886,-0.6902894629418167,-1.2534130021926464,1.2014740603926766,-1.2172052521232555,-0.9350148362880649,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.5356078745528133,-0.028698282973181426,1.551701434076526,-0.7328753597453288,-0.01398136351342879,-0.8411968817350026,-0.19251684180136847,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.9218628160118196,-0.3115220495154245,0.05704083606429757,0.05581803790212222,-0.21927276218925917,0.28682822942975594,-0.6875155047924995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.11215687680924577,-0.7859117805956136,-1.1885096622792262,0.2924260571963575,-0.8286297709571991,2.730882636953399,0.054982489694197036,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.27409806464976055,-0.028622863302103493,0.5552610354017071,1.6332048331970241,-0.21927276218925917,1.320851247997451,-0.6875155047924995,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.5356078745528133,0.1598508947216473,-0.44117936327311197,-0.2596593211568582,2.33872323718418,-0.559190603943813,0.3024818211897625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.4360392524902753,0.4426746612638904,1.0534812347391167,1.3177274741380438,-0.3659094755291376,0.28682822942975594,-0.9350148362880649,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.4360392524902753,0.04672138810475006,1.0534812347391167,2.421898230844475,-1.3174188154234614,1.790861710982767,-0.9350148362880649,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.3453138137553873,-0.5943458160576676,-0.6902894629418167,-0.3385286609216033,-0.01398136351342879,0.380830322026819,1.7874778101631554,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.3736666867122986,-0.1795376251290444,-0.6902894629418167,-0.5751366802158386,-1.1479719466751572,-0.559190603943813,0.549981152685328,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.5979804403307901,-0.21724746066801015,-0.19206926360440718,2.421898230844475,-0.01398136351342879,2.6368805443563357,-0.440016173296934,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
